development_period,mean_lr,std_lr,cv,trend_correlation,trend_p_value,stable
0,1.6727162575301397,0.17958622383676417,0.10736203646512853,-0.11883790055879577,0.7607364807173173,True
1,1.2476891935606242,0.048142561114656736,0.03858537956657996,0.749696676351241,0.03221346425006102,False
2,1.1337030799412005,0.020910238539852955,0.018444193113542097,0.5667915750141601,0.18457836204963218,True
3,1.076464254836272,0.007276230795095927,0.0067593798515888735,0.27134005722155013,0.6029786779081671,True
4,1.0422391572141474,0.0057925796346626705,0.005557821920782503,0.05278177901183663,0.9328273688216505,True
5,1.0177772527675453,0.002885079212484437,0.002834686278003674,0.19572658874625154,0.8042734112537484,True
6,1.0100474247952251,0.00148514606872094,0.0014703726104960224,0.17173120732013486,0.8901278846517816,True
