development_period,mean_lr,std_lr,cv,trend_correlation,trend_p_value,stable
0,1.903003215719546,0.19008119284548036,0.09988485110026922,0.5654976109354826,0.11253959770781503,True
1,1.4456331539616918,0.11560230192156169,0.0799665541736912,0.23844712311365923,0.5695693258919995,True
2,1.253495859165008,0.051883002468674756,0.041390645281617136,-0.6558914689154158,0.1096609232830904,True
3,1.1835260469965623,0.07130053486530252,0.06024416196520736,-0.4457928891911565,0.37560716642502495,True
4,1.1283747445802348,0.01790520478532779,0.01586813677931854,0.6780280125767615,0.20839418905193763,True
5,1.069544980713751,0.020519723360838953,0.019185470205418855,-0.6293764095927041,0.37062359040729587,True
6,1.0337386794079522,0.011974890256503475,0.011584059390485216,0.6725809405053809,0.5303713675998076,True
