development_period,mean_lr,std_lr,cv,trend_correlation,trend_p_value,stable
0,1.4219002076063918,0.0641294082092014,0.045101201804559836,0.00029254432084895726,0.9994040336458752,True
1,1.0985436232367096,0.013218584352257487,0.01203282607322477,-0.02496428986033866,0.9532114005496906,True
2,1.04682330761404,0.0050051723342241315,0.004781296230050621,0.24459838784393,0.5970662564842844,True
3,1.0191816416079906,0.0024259051613925364,0.002380248095486806,0.04017095204355435,0.9397759839755472,True
4,1.0049562960675587,0.0010757896560437004,0.001070484020303486,0.37894419748088587,0.5293231304942817,True
5,1.0031480238795623,0.00029969639207643004,0.00029875590136477356,-0.15923890882112526,0.8407610911788748,True
6,1.0020221569481345,0.0002504823015984577,0.0002499768092567467,0.25477775178835516,0.8359953744004673,True
