LOB,Mean_IBNR,Median_IBNR,Std_IBNR,CV,VaR_75,VaR_95,VaR_99,TVaR_95
Auto,10178082.947783746,10086436.46758173,6271999.103110156,61.6225976471912,14638510.781450406,20638491.88331601,24252801.11891114,22946693.453530435
WorkersComp,22099229.745000534,23062674.267646838,17720993.453551188,80.18828555579034,34186209.05333762,49844262.74724068,61200567.747258484,56737610.38304083
GeneralLiability,22659360.25618147,21417489.188219495,13065178.167215975,57.659077835843995,30976693.308128003,45911919.13650099,57563729.3155277,52887664.61028549
