LOB,Best_Estimate,Std_Dev,CV,VaR_75,VaR_95,VaR_99,VaR_99_5,TVaR_95
Auto,10178082.947783746,6271999.103110156,61.6225976471912,14638510.781450406,20638491.88331601,24252801.11891114,25749269.684776723,22946693.453530435
WorkersComp,22099229.745000534,17720993.453551188,80.18828555579034,34186209.05333762,49844262.74724068,61200567.747258484,64962636.310648516,56737610.38304083
GeneralLiability,22659360.25618147,13065178.167215975,57.659077835843995,30976693.308128003,45911919.13650099,57563729.3155277,61913926.12694035,52887664.61028549
